Channel ID,Channel URL,Channel title
UC--MxpGXJ3LVD8KvlNzRlcA,http://www.youtube.com/channel/UC--MxpGXJ3LVD8KvlNzRlcA,HowToBBQRight
UC-2YHgc363EdcusLIBbgxzg,http://www.youtube.com/channel/UC-2YHgc363EdcusLIBbgxzg,Joe Scott
UC-2vh3f5tIDkt4K01ZsGDXw,http://www.youtube.com/channel/UC-2vh3f5tIDkt4K01ZsGDXw,Statue of Wisdom
UC-3jIAlnQmbbVMV6gR7K8aQ,http://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,The Majority Report w/ Sam Seder
UC-4-Itv3ved9ZWkSso9VE8A,http://www.youtube.com/channel/UC-4-Itv3ved9ZWkSso9VE8A,Renzy
UC-4nsAH5j9AIhv5tHoQSP9g,http://www.youtube.com/channel/UC-4nsAH5j9AIhv5tHoQSP9g,Interview Pen
UC-67UFtinaTTK6Y501PniDw,http://www.youtube.com/channel/UC-67UFtinaTTK6Y501PniDw,A Touch of Aston
UC-6OW5aJYBFM33zXQlBKPNA,http://www.youtube.com/channel/UC-6OW5aJYBFM33zXQlBKPNA,Engadget
UC-6qK5suZcTV_U_DmJialDw,http://www.youtube.com/channel/UC-6qK5suZcTV_U_DmJialDw,Columbia Water Gardens
UC-7jpsrhuSgkze9xC5pN2_A,http://www.youtube.com/channel/UC-7jpsrhuSgkze9xC5pN2_A,AK Info Institute
UC-83asAgmeg38jAejaFLH2g,http://www.youtube.com/channel/UC-83asAgmeg38jAejaFLH2g,arthoefmann
UC-9b7aDP6ZN0coj9-xFnrtw,http://www.youtube.com/channel/UC-9b7aDP6ZN0coj9-xFnrtw,Astrum
UC-AQKm7HUNMmxjdS371MSwg,http://www.youtube.com/channel/UC-AQKm7HUNMmxjdS371MSwg,Channel 5 with Andrew Callaghan
UC-BP0E5EsFiod-xMlmBkJoQ,http://www.youtube.com/channel/UC-BP0E5EsFiod-xMlmBkJoQ,Sonndersmith
UC-CSyyi47VX1lD9zyeABW3w,http://www.youtube.com/channel/UC-CSyyi47VX1lD9zyeABW3w,Dhruv Rathee
UC-EnprmCZ3OXyAoG7vjVNCA,http://www.youtube.com/channel/UC-EnprmCZ3OXyAoG7vjVNCA,Stanford
UC-HWZs7YOICL0h--kGSRuTg,http://www.youtube.com/channel/UC-HWZs7YOICL0h--kGSRuTg,Mork
UC-ItiI-CI-ZoASr885LebJQ,http://www.youtube.com/channel/UC-ItiI-CI-ZoASr885LebJQ,Life Art
UC-Jj_eFkIwnA5m75ral8_HQ,http://www.youtube.com/channel/UC-Jj_eFkIwnA5m75ral8_HQ,SubAnima
UC-LM91jkqJdWFvm9B5G-w7Q,http://www.youtube.com/channel/UC-LM91jkqJdWFvm9B5G-w7Q,Alan Fisher
UC-MGHRKbmkden1SjxdL8UzA,http://www.youtube.com/channel/UC-MGHRKbmkden1SjxdL8UzA,nextProgram
UC-NUlZIZprk8tVtJJaJ-2_A,http://www.youtube.com/channel/UC-NUlZIZprk8tVtJJaJ-2_A,3DprintedLife
UC-OJ-24roEfQ_-PCnLJSckg,http://www.youtube.com/channel/UC-OJ-24roEfQ_-PCnLJSckg,Levi Hildebrand
UC-QLxQ7cFp-3CFnSZO6oXXw,http://www.youtube.com/channel/UC-QLxQ7cFp-3CFnSZO6oXXw,Coder Army
UC-QX2gX4bPK2dmV5HUmrihg,http://www.youtube.com/channel/UC-QX2gX4bPK2dmV5HUmrihg,Austin Mollno
UC-RKpEc4eE9PwJaupN91xYQ,http://www.youtube.com/channel/UC-RKpEc4eE9PwJaupN91xYQ,Sprouts
UC-RYQy3KOGgNvXOxVRMgMEA,http://www.youtube.com/channel/UC-RYQy3KOGgNvXOxVRMgMEA,Maker's Fun Duck
UC-SrCCzkGq0wmSAuRs7EBFg,http://www.youtube.com/channel/UC-SrCCzkGq0wmSAuRs7EBFg,Miniminuteman
UC-eicAkiRdGLguiS1dS_N9Q,http://www.youtube.com/channel/UC-eicAkiRdGLguiS1dS_N9Q,Clay Hayes
UC-ghHYtTXsz4Qk7GxUYSQqQ,http://www.youtube.com/channel/UC-ghHYtTXsz4Qk7GxUYSQqQ,Schrodingeru
UC-hOof8hD-mK_8tDYEOWWXQ,http://www.youtube.com/channel/UC-hOof8hD-mK_8tDYEOWWXQ,MrAjae_Shorts
UC-hzoAk2bSnoqW0LmECa5WA,http://www.youtube.com/channel/UC-hzoAk2bSnoqW0LmECa5WA,Our Stories
UC-j70KQRkvG8ncivshIyvHQ,http://www.youtube.com/channel/UC-j70KQRkvG8ncivshIyvHQ,Vocal Pineapple Academia
UC-k1VD5K6kwizjhg-HKj1rw,http://www.youtube.com/channel/UC-k1VD5K6kwizjhg-HKj1rw,Dodford
UC-kM5kL9CgjN9s9pim089gg,http://www.youtube.com/channel/UC-kM5kL9CgjN9s9pim089gg,Adam Conover
UC-lHJZR3Gqxm24_Vd_AJ5Yw,http://www.youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie
UC-mP1nlk0qOutA08zuQHORA,http://www.youtube.com/channel/UC-mP1nlk0qOutA08zuQHORA,Patrick Cc:
UC-nPM1_kSZf91ZGkcgy_95Q,http://www.youtube.com/channel/UC-nPM1_kSZf91ZGkcgy_95Q,How to ADHD
UC-nmgnjDP9bDMlV0d3bQK4A,http://www.youtube.com/channel/UC-nmgnjDP9bDMlV0d3bQK4A,IMAGINATION and INNOVATION TV
UC-plqy8LWebD8C9YxAoCOaQ,http://www.youtube.com/channel/UC-plqy8LWebD8C9YxAoCOaQ,Not Samay Raina
UC-r4Tg3nBRALtxJn12fFP_Q,http://www.youtube.com/channel/UC-r4Tg3nBRALtxJn12fFP_Q,Phil Hanley
UC-rfOx4cRFtdeMI94caWd8Q,http://www.youtube.com/channel/UC-rfOx4cRFtdeMI94caWd8Q,K R A L Y N 3D
UC-tLyAaPbRZiYrOJxAGB7dQ,http://www.youtube.com/channel/UC-tLyAaPbRZiYrOJxAGB7dQ,Pursuit of Wonder
UC-uNVV92llYIMC5-ZUF0Q4w,http://www.youtube.com/channel/UC-uNVV92llYIMC5-ZUF0Q4w,Uyen Ninh
UC-ufRLYrXxrIEApGn9VG5pQ,http://www.youtube.com/channel/UC-ufRLYrXxrIEApGn9VG5pQ,Reject Convenience
